código,grupo,condición,evaluación,ms,µV,electrodo
CLB8M,1,Alegría,PRE,214,-1.09,T6
CLB8M,1,Enojo,PRE,222,-5.75,T6
CLB8M,1,Identidad,PRE,224,-8.62,T6
CLB8M,1,Sexo,PRE,224,-4.71,T6
CLB8M,1,Tristeza,PRE,212,-0.16,T6
CVO8M,2,Alegría,POST,582,12.73,P3
CVO8M,2,Enojo,POST,630,2.38,P3
CVO8M,2,Identidad,POST,536,10.57,P3
CVO8M,2,Sexo,POST,580,11.47,P3
CVO8M,2,Tristeza,POST,638,2.85,P3
CVO8M,2,Alegría,PRE,560,6.4,P3
CVO8M,2,Enojo,PRE,594,5.7,P3
CVO8M,2,Identidad,PRE,596,9.77,P3
CVO8M,2,Sexo,PRE,588,15.98,P3
CVO8M,2,Tristeza,PRE,632,15.51,P3
HMA8M,1,Enojo,PRE,240,-0.65,T5
JOB10M,2,Sexo,POST,246,-0.75,T5
JOB10M,2,Identidad,PRE,242,-0.8,T5
JDC10M,2,Sexo,PRE,230,-0.82,T5
AMA8M,2,Tristeza,PRE,236,-0.86,T5
SPM8M,1,Tristeza,PRE,230,-0.87,T5
SGM8M,2,Enojo,PRE,212,-0.89,T5
JGB9M,2,Alegría,PRE,232,-1.06,T5
CVO8M,2,Tristeza,POST,238,-1.09,T5
AMA8M,2,Alegría,PRE,220,-1.32,T5
CVO8M,2,Alegría,POST,230,-9.18,T6
CVO8M,2,Enojo,POST,234,2.04,T6
CVO8M,2,Identidad,POST,206,0.18,T6
CVO8M,2,Sexo,POST,234,-0.92,T6
CVO8M,2,Tristeza,POST,240,-4.41,T6
CVO8M,2,Alegría,PRE,210,-7.65,T6
CVO8M,2,Enojo,PRE,230,-5.53,T6
CVO8M,2,Identidad,PRE,192,-7.97,T6
CVO8M,2,Sexo,PRE,250,-6.04,T6
CVO8M,2,Tristeza,PRE,244,-3.14,T6
DRL8M,1,Alegría,POST,576,11.35,P3
DRL8M,1,Enojo,POST,584,19.34,P3
DRL8M,1,Identidad,POST,458,20.7,P3
DRL8M,1,Sexo,POST,456,12.83,P3
DRL8M,1,Tristeza,POST,568,23.16,P3
DRL8M,1,Alegría,PRE,588,20.3,P3
DRL8M,1,Enojo,PRE,524,26.9,P3
DRL8M,1,Identidad,PRE,480,24.26,P3
DRL8M,1,Sexo,PRE,464,25.53,P3
DRL8M,1,Tristeza,PRE,582,6.85,P3
AMA8M,2,Tristeza,POST,246,-1.4,T5
ADA8M,2,Enojo,PRE,216,-1.43,T5
CLB8M,1,Identidad,POST,242,-1.45,T5
EHO8M,1,Enojo,PRE,244,-1.48,T5
AMA8M,2,Identidad,PRE,236,-1.61,T5
JGB9M,2,Enojo,PRE,236,-1.9,T5
ALJ10M,1,Enojo,PRE,220,-2.1,T5
HMA8M,1,Sexo,PRE,266,-2.22,T5
EHO8M,1,Identidad,POST,236,-2.24,T5
MRA8M,2,Tristeza,POST,236,-2.39,T5
DRL8M,1,Alegría,POST,264,-19.46,T6
DRL8M,1,Enojo,POST,250,-18.64,T6
DRL8M,1,Identidad,POST,258,-14.42,T6
DRL8M,1,Sexo,POST,258,-19.54,T6
DRL8M,1,Tristeza,POST,258,-15.77,T6
DRL8M,1,Alegría,PRE,238,-5.53,T6
DRL8M,1,Enojo,PRE,242,-9.06,T6
DRL8M,1,Identidad,PRE,248,-11.35,T6
DRL8M,1,Sexo,PRE,262,-12.3,T6
DRL8M,1,Tristeza,PRE,254,-12.86,T6
